dataset,split,device,n_trials,T,C,t,n,a,b,changed_side,snr_before_db,snr_after_db,snr_delta_db,snr_before_mean_ch_db,snr_after_mean_ch_db,snr_delta_mean_ch_db
ADFTD,TRAIN,cpu,40446,256,19,1,10,-0.19,-0.27,front,-50.18717956542969,-50.46647644042969,-0.279296875,-50.310245513916016,-50.535667419433594,-0.22542838752269745
ADFTD,VAL,cpu,14658,256,19,1,10,-0.19,-0.27,front,-41.63446044921875,-41.508880615234375,0.125579833984375,-41.66845703125,-41.519798278808594,0.14865799248218536
ADFTD,TEST,cpu,14648,256,19,1,10,-0.19,-0.27,front,-43.742279052734375,-43.76536560058594,-0.0230865478515625,-43.81503677368164,-43.79637145996094,0.0186614990234375
