dataset,split,device,n_trials,T,C,t,n,a,b,changed_side,snr_before_db,snr_after_db,snr_delta_db,snr_before_mean_ch_db,snr_after_mean_ch_db,snr_delta_mean_ch_db
TDBRAIN,TRAIN,cpu,4320,256,33,-1,25,1.0,1.1,back,-33.4532585144043,-34.36746597290039,-0.9142074584960938,-34.83602523803711,-34.914344787597656,-0.07832100242376328
TDBRAIN,VAL,cpu,960,256,33,-1,25,1.0,1.1,back,-26.688644409179688,-28.1148738861084,-1.426229476928711,-28.477384567260742,-28.895193099975586,-0.41780486702919006
TDBRAIN,TEST,cpu,960,256,33,-1,25,1.0,1.1,back,-26.079084396362305,-26.287982940673828,-0.20889854431152344,-26.416078567504883,-26.312606811523438,0.10347168147563934
