dataset,split,device,n_trials,T,C,t,n,a,b,changed_side,snr_before_db,snr_after_db,snr_delta_db,snr_before_mean_ch_db,snr_after_mean_ch_db,snr_delta_mean_ch_db
APAVA,TRAIN,cpu,3123,256,16,1,9,-0.8,-0.6,front,-33.20987319946289,-33.091941833496094,0.11793136596679688,-33.63593292236328,-33.28873062133789,0.3471999764442444
APAVA,VAL,cpu,1413,256,16,1,9,-0.8,-0.6,front,-28.75115394592285,-28.34527587890625,0.40587806701660156,-29.285871505737305,-28.88301658630371,0.4028553366661072
APAVA,TEST,cpu,1431,256,16,1,9,-0.8,-0.6,front,-29.04241943359375,-29.488313674926758,-0.4458942413330078,-29.20218849182129,-29.47682762145996,-0.274639755487442
