dataset,split,device,n_trials,T,C,t,n,a,b,changed_side,snr_before_db,snr_after_db,snr_delta_db,snr_before_mean_ch_db,snr_after_mean_ch_db,snr_delta_mean_ch_db
PTB,TRAIN,cpu,41995,300,15,1,8,0.21,-0.5,front,-7.570032596588135,-5.087752819061279,2.4822797775268555,-9.247133255004883,-5.4455342292785645,3.8015999794006348
PTB,VAL,cpu,12993,300,15,1,8,0.21,-0.5,front,-6.896647930145264,-4.08492374420166,2.8117241859436035,-8.450182914733887,-4.331177711486816,4.119004726409912
PTB,TEST,cpu,9368,300,15,1,8,0.21,-0.5,front,-8.447831153869629,-5.415648460388184,3.0321826934814453,-9.990875244140625,-5.708292007446289,4.282583236694336
